"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.94358785090612e-10,9.52358046944001e-09,0.826657301178302,-0.536463310730025,-2.15933188340939,165,"17313;13601;12931;18596;17181;21859;12843;14451;68588;30794;16010;107581;12111;50706;21810;12834;13612;14314;12552;16949;21857;12842;20750;20649;13732;18858;20720;20315;22418;13132;16852;13003;235106;12835;12825;16009;16419;18787;20564;65112;20692;18542;16948;22003;21817;12831;12406;12332;67305;18129;21838;12814;20563;12816;23876;19288;218952;14119;21826;14102;16402;107528"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00183453367440223,0.0284789862069273,0.45505986738723,-0.409419461147801,-1.57620589327162,121,"54371;20306;20312;320910;15117;11988;68713;11622;21857;16878;19222;13732;18414;18439;12977;21942;18787;18442;17986;192656;15980;20266;21930;11541;19734;50723;17069;16177;16362;16190;235574;11479;14528;54216;218215;14745;16402;17295;17869;109552"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00145608447060206,0.0284789862069273,0.45505986738723,0.402198325365342,1.5984930035843,87,"19124;15958;71586;231655;67168;209086;22670;65972;73711;16168;19106;15945;319236;268749;243771;246696;229003;211329;56791;20821;100121;74735;64685;67138;234311;13709;52668;17858;58185;21354;547253;246730;15959;67775;16912;16391"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0023248152005655,0.0284789862069273,0.431707695803346,-0.41264804385271,-1.6062193401912,131,"13110;11529;16010;68021;16480;59083;26874;71093;11669;18984;246277;110213;110172;22021;51798;18787;11429;56376;223455;66841;14865;18104;233016;69071;18618;109672;21808;11761;22436;74134;51793;53328;16177;110351;18107;67442;14528;12035;14102;66397;67880;50500;11655;29811;29858;66082;78038"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00397687002321402,0.0389733262274974,0.407017918923954,-0.469588016567727,-1.63912892026505,64,"68671;20775;18194;68312;208715;20788;107503;110196;68603;14137;51798;17855;12387;14104;110460;11658;13121;69071;16987;11465;192156;15357;15490;235293"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00561697122764974,0.0393187985935482,0.407017918923954,0.318615926339612,1.40906587979068,154,"14190;19225;18712;15958;71664;71586;231655;18783;209086;22670;65972;16168;60533;56421;18578;19106;12367;50523;246728;15945;268749;243771;246696;229003;110168;59027;56791;20821;17979;100121;74735;64685;67138;12575;12363;234311;56045;66552;246727;52668;17858;58185;27056;98999;30934;21929;21354;547253;15959;67775;11861;16169;16912;16391"
"HALLMARK_MYOGENESIS",0.00497527344188974,0.0393187985935482,0.407017918923954,-0.383845656203619,-1.48947284121938,126,"17967;19245;13808;16651;16985;29857;12834;226251;11636;12842;11568;18128;17260;15982;12835;110196;77559;12825;16009;14681;16419;14387;20692;13845;225115;78286;19223;17532;18642;18104;20893;17886;20190;15184;14245;76954;192897;11820"
"HALLMARK_ANGIOGENESIS",0.0102377725997463,0.0523606079788677,0.380730400722792,-0.563262255972197,-1.60425751125658,24,"20198;50706;14314;21857;20750;13003;12825;14083;14182;16976;11820;18186"
"HALLMARK_APICAL_JUNCTION",0.010539414199111,0.0523606079788677,0.380730400722792,-0.361246935107232,-1.43248024406776,142,"23880;20312;19261;108100;107581;16480;21810;12552;68481;13003;17395;218397;102657;11548;244864;231070;19094;64540;103733;21827;17886;21838;14083;14431;11465;192156;20563;20416;15107;320840;99151;192897;11490;18015"
"HALLMARK_FATTY_ACID_METABOLISM",0.0117544221993377,0.0523606079788677,0.380730400722792,-0.37552727351468,-1.44572585762937,121,"11529;13808;68021;18194;52683;12167;16852;208715;11370;52538;51798;14104;11564;11429;110460;66841;67460;14645;15107;15490;67442;12894;14874;12896;74754;17252;23986;70335;12349;66945;12972;17449;17448;17025;98314;319554;56690;78920;75624;11430"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0117353402766574,0.0523606079788677,0.380730400722792,-0.530958430954559,-1.59682068977766,31,"21414;16842;14362;12006;18128;12387;27373;14534;15184;27401;13543;17869"
"HALLMARK_UV_RESPONSE_DN",0.0188939739248995,0.0771503935266728,0.352487857583619,-0.362116915932281,-1.42648663517515,136,"67916;18596;15117;12843;99633;18750;12842;236915;18858;13132;19274;12825;15901;57265;18787;15529;20975;56376;19088;231070;11541;20893;18129;12814;23876;14007;235574;20747;14745;20238;17295;17869;109552;18186;67972;14815;12389;13866;12306;71175;20181;12832;17755;328365;116870"
