"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8.68848725765705e-05,0.00425735875625195,0.538434096309916,-0.426820836404384,-1.69912131407258,164,"12931;16009;13612;30794;16010;18858;12843;17181;18596;13601;68588;21859;107581;14451;13132;12842;13732;12834;20649;20720;16948;14268;12552;12814;16852;12835;12831;12825;20564;70350;20692;12111;14119;20315;21857;22004;22418;16949;13003;17313;18542;18129;20750;21817;50706;24051;65112;22003;53867;19736;21803;67305;14118;22341;14314;12816;16398;235106;14733;20563;16476;21810;71665;12827;218952;107528;74488;76477;16971;18113;12836;21923;20254;83554"
"HALLMARK_HYPOXIA",0.00405781647035828,0.0437873335769285,0.407017918923954,0.325749928158186,1.46569807821862,169,"11535;15937;16795;14219;16007;231507;50527;11717;21983;20970;19252;21985;18654;18484;20855;11910;18655;11639;14538;12457;228026;12368;57444;170750;14284;17133;384783;17859;17684;70186;23849;16193;15275;14066;18030;93692;18712;60406;20439;52331;13527;15277;16572;20525;12043;18793;13636;11674;54683;19664;21753;236900;170768;21991;21929;74185;74155;13358;18787;16828"
"HALLMARK_MYOGENESIS",0.00446809526295189,0.0437873335769285,0.407017918923954,-0.387799974502911,-1.49976847208655,126,"16009;19223;18104;14681;29857;18128;226251;225115;11568;13808;12842;12834;16651;17967;13845;15982;14387;12835;18642;12825;17886;20692;11790;19245;22084;77559;22004;140570;78286;20190;14248;17260;15184;29817;16985;14245;192897;21803;20893;20698;18693;76954"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0020988938266108,0.0437873335769285,0.431707695803346,0.335901164629137,1.5113731390579,169,"19225;54720;14063;18792;15937;14825;18578;16007;12156;15958;21815;12228;16323;19252;14282;56722;13614;229055;19267;240672;11910;104681;59027;20229;14284;17133;14595;18227;384783;19697;23849;16193;14066;56706;18030;18033;18124;12053;12633;18793;56708;13636"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00374725697885683,0.0437873335769285,0.431707695803346,-0.563036909584345,-1.68071866389745,31,"18128;13543;16842;12006;21414;14534;14362;103806;22059;20602;15184;12387"
"HALLMARK_MITOTIC_SPINDLE",0.00817413822384017,0.0580755589147948,0.380730400722792,-0.34609871149855,-1.41376160577547,194,"53860;104027;109934;192786;224014;328580;18015;18003;108686;71704;269713;78757;20742;71602;12009;104445;17886;105988;216846;208628;223435;21973;77579;108903;56699;16897;56427;18472;83767;238130;18129;68041;71774;237860;18541;242687;67052;214444;192662;19687;56376;11799;22627;17118;26934;217232;16328;104318;18080;101706;94190;12125;13822;70799;18764;108907"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00829650841639926,0.0580755589147948,0.380730400722792,-0.383211471932949,-1.48841631022155,130,"18104;16010;26874;11529;11669;13110;110351;16480;109672;110213;71093;14528;246277;59083;18107;11429;50997;18984;228608;66397;233016;51793;22021;69071;11761;12359;110172;22436;14854;223455;68021;12349;74134;66082;66841;11430;56376;14629;18618;11655;29858;29811;64898"
"HALLMARK_PROTEIN_SECRETION",0.0234622181842091,0.14370608637828,0.352487857583619,0.347519326202131,1.42527733566188,90,"12725;17113;20619;21985;14420;18484;107767;20655;26413;11765;20479;15893;208449;11773;20844;108664;53330;11777;16004;107338;74006;110651;16784;76332;77929;271457;11487;22088;53331"
"HALLMARK_BILE_ACID_METABOLISM",0.0539291217257319,0.165157935285054,0.241339976815091,-0.385239343649716,-1.37344561493724,71,"217262;26874;13123;19659;27404;76184;18642;17117;20181;72129;11303;20238;63959;12359;11666;14149"
"HALLMARK_E2F_TARGETS",0.0536193029490617,0.165157935285054,0.224966093540314,-0.308145464284674,-1.26929712433259,199,"66570;68275;103733;12189;14375;21853;72107;18972;19183;12419;70472;20877;105988;53892;54141;19360;70218;21973;22059;17121;20425;13433;106795;21877;69263;15374;12704;67629;114714;12578;19357;20382;19718;15366;19687;68479;11799;17215;21379;26934;18102;17350;19355;17279"
